Track name,Album name,Artists
March Madness,56 Nights,Future
Halftime,Barter 6,Young Thug
A-Team,A-Team,Travis Scott
4 Da Kidz,Man On The Moon III: The Chosen,Kid Cudi
Another Day,Man On The Moon III: The Chosen,Kid Cudi
Gangstas,Shoot For The Stars Aim For The Moon,Pop Smoke
Love Lockdown,808s & Heartbreak,Kanye West
Stronger,Graduation,Kanye West
Ordinary Life,Starboy,The Weeknd
Pray 4 Love (feat. The Weeknd),Rodeo,"Travis Scott, The Weeknd"
Pure Cocaine,Street Gossip,Lil Baby
Mood (feat. Lil Uzi Vert),The Black Tape,"DJ Rell, Ms. Danniboo, Lil Uzi Vert"
Rose Golden,"Passion, Pain & Demon Slayin'","Kid Cudi, WILLOW"
Myron,Eternal Atake (Deluxe) - LUV vs. The World 2,Lil Uzi Vert
Pretty Mami,Luv Is Rage 2,Lil Uzi Vert
Lo Mein,Eternal Atake,Lil Uzi Vert
Prices,Eternal Atake,"Lil Uzi Vert, WanMor"
WHAT TO DO? (feat. Don Toliver),JACKBOYS,"JACKBOYS, Travis Scott, Don Toliver"
Dark Queen,Luv Is Rage 2,Lil Uzi Vert
Sanguine Paradise,Sanguine Paradise,Lil Uzi Vert
Hot (Remix) [feat. Gunna and Travis Scott],Hot (Remix) [feat. Gunna and Travis Scott],"Young Thug, Travis Scott, Gunna"
HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,Travis Scott
LVL,LONG.LIVE.A$AP (Deluxe Version),A$AP Rocky
Goldie,LONG.LIVE.A$AP (Deluxe Version),A$AP Rocky
Gunz N Butter (feat. Juicy J),TESTING,"A$AP Rocky, Juicy J"
Sin (feat. Jaden Smith),On the Run,"Young Thug, Jaden"
5% TINT,ASTROWORLD,Travis Scott
NC-17,ASTROWORLD,Travis Scott
Powerglide (feat. Juicy J),Powerglide (feat. Juicy J),"Rae Sremmurd, Swae Lee, Slim Jxmmi, Juicy J"
Black & Chinese,"Huncho Jack, Jack Huncho","Huncho Jack, Travis Scott, Quavo"
BUTTERFLY EFFECT,BUTTERFLY EFFECT,Travis Scott
Gyalchester,More Life,Drake
Here Comes The Night,Encore,"DJ Snake, Mr Hudson"
Starboy,Starboy,"The Weeknd, Daft Punk"
Clique,Clique,"Kanye West, JAY-Z, Big Sean"
Run This Town,The Blueprint 3,"JAY-Z, Rihanna, Kanye West"
Heartless,808s & Heartbreak (Softpak),Kanye West
Day 'N' Nite (nightmare),Man On The Moon: The End Of Day,Kid Cudi
Diamonds Dancing,What A Time To Be Alive,"Drake, Future"
POWER,My Beautiful Dark Twisted Fantasy,Kanye West
Ambition (feat. Meek Mill & Rick Ross),Ambition,"Wale, Meek Mill, Rick Ross"
The Hills,The Hills,The Weeknd
Deuces (feat. Tyga & Kevin McCall),F.A.M.E.,"Chris Brown, Tyga, Kevin McCall"
Blood On The Leaves,Yeezus,Kanye West
Swimming Pools (Drank),Swimming Pools (Drank),Kendrick Lamar
That’s It,Pluto x Baby Pluto,"Future, Lil Uzi Vert"
Ps & Qs,Lil Uzi Vert vs. The World,Lil Uzi Vert
Don’t Matter To Me (with Michael Jackson),Scorpion,"Drake, Michael Jackson"
Element,Meet The Woo 2,Pop Smoke
Wants and Needs (feat. Lil Baby),Scary Hours 2,"Drake, Lil Baby"
Too Much,Nothing Was The Same,"Drake, Sampha"
Omertà,The Best In The World Pack,Drake
Just What I Am,Indicud,"Kid Cudi, King Chip"
Unfuckwittable,Indicud,Kid Cudi
Hats Off (feat. Travis Scott),The Voice of the Heroes,"Lil Baby, Lil Durk, Travis Scott"
Liquor Locker,There's Alot Going On,VIC MENSA
Behind Barz - Bonus,Top Boy (A Selection of Music Inspired by the Series),Drake
Buried Alive Interlude,Take Care (Deluxe),"Drake, Kendrick Lamar"
Make Me Proud,Take Care (Deluxe),"Drake, Nicki Minaj"
HYFR (Hell Ya Fucking Right),Take Care (Deluxe),"Drake, Lil Wayne"
JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),CALL ME IF YOU GET LOST,"Tyler, The Creator, Lil Uzi Vert, Pharrell Williams"
"Never Recover (Lil Baby & Gunna, Drake)",Drip Harder,"Lil Baby, Gunna, Drake"
Don't Play (feat. The 1975 & Big Sean),Don't Play (feat. The 1975 & Big Sean),"Travis Scott, The 1975, Big Sean"
Now & Forever,If You're Reading This It's Too Late,Drake
Not PLaying,Whole Lotta Red,Playboi Carti
Candy,Heaven Or Hell,Don Toliver
Big Boss Rabbit,Big Boss Rabbit,Freddie Gibbs
through the late night,Birds In The Trap Sing McKnight,Travis Scott
"Fine Whine (feat. Joe Fox, Future & M.I.A.)",AT.LONG.LAST.A$AP,"A$AP Rocky, Joe Fox, Future, M.I.A."
Two®,Luv Is Rage 2,Lil Uzi Vert
Star67,If You're Reading This It's Too Late,Drake
6PM In New York,If You're Reading This It's Too Late,Drake
WAKE UP,ASTROWORLD,Travis Scott
Mr. Jones (feat. Future),Faith,"Pop Smoke, Future"
4 Thangs (feat. Big Sean & Hit-Boy),4 Thangs (feat. Big Sean & Hit-Boy),"Freddie Gibbs, Hit-Boy, Big Sean"
Money Trees,"good kid, m.A.A.d city","Kendrick Lamar, Jay Rock"
Tuscan Leather,Nothing Was The Same,Drake
The Language,Nothing Was The Same,Drake
Off The Grid,Donda,Kanye West
Hurricane,Donda,Kanye West
Praise God,Donda,Kanye West
N 2 Deep,Certified Lover Boy,"Drake, Future"
Knife Talk (with 21 Savage ft. Project Pat),Certified Lover Boy,"Drake, 21 Savage, Project Pat"
No Friends In The Industry,Certified Lover Boy,Drake
Fair Trade (with Travis Scott),Certified Lover Boy,"Drake, Travis Scott"
Way 2 Sexy (with Future & Young Thug),Certified Lover Boy,"Drake, Future, Young Thug"
Day 'N' Nite - Crookers Remix,Day 'N' Nite (Crookers Remix),"Kid Cudi, Crookers"
too easy,too easy,"Gunna, Future"
EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),KHALED KHALED,"DJ Khaled, Lil Baby, Lil Durk"
IV. Sweatpants,Because the Internet,Childish Gambino
CLOSE (feat. Travis Scott) - From SR3MM,SR3MM,"Rae Sremmurd, Swae Lee, Slim Jxmmi, Travis Scott"
Lord Pretty Flacko Jodye 2 (LPFJ2),AT.LONG.LAST.A$AP,A$AP Rocky
way back,Birds In The Trap Sing McKnight,Travis Scott
Oh My Dis Side (feat. Quavo),Rodeo,"Travis Scott, Quavo"
Solid (feat. Drake),Slime Language 2,"Young Stoner Life, Young Thug, Gunna, Drake"
BOGUS,Life of a DON,Don Toliver
"Frat Rules (feat. A$AP Rocky, Playboi Carti & Big Sean)",Cozy Tapes Vol. 2: Too Cozy,"A$AP Mob, A$AP Rocky, Playboi Carti, Big Sean"
Father Stretch My Hands Pt. 1,The Life Of Pablo,Kanye West
Bubbly (with Drake & Travis Scott),Punk,"Young Thug, Drake, Travis Scott"
G.O.M.D.,2014 Forest Hills Drive,J. Cole
